Class,Precision,Recall,F1-Score,Accuracy,Support
acc_long_600_mg,1.0,1.0,1.0,1.0,6
novo_c_plus,1.0,1.0,1.0,1.0,6
kalium_r,1.0,1.0,1.0,1.0,6
koleszterin_kontroll,1.0,1.0,1.0,1.0,6
lactamed,1.0,1.0,1.0,1.0,6
lordestin_5_mg,1.0,1.0,1.0,1.0,6
advil_ultra_forte,1.0,1.0,1.0,1.0,6
mezym_forte_10_000_egyseg,1.0,1.0,1.0,1.0,6
milgamma,1.0,1.0,1.0,1.0,6
naprosyn_250_mg,1.0,1.0,1.0,1.0,6
naturland_d_vitamin_forte,1.0,1.0,1.0,1.0,6
neo_citran,1.0,1.0,1.0,1.0,6
neo_ferro_folgamma_114_mg_0_8_mg,1.0,1.0,1.0,1.0,6
nolpaza_20_mg,1.0,1.0,1.0,1.0,6
nurofen_forte_400_mg,1.0,1.0,1.0,1.0,6
favipiravir_meditop_200_mg,1.0,1.0,1.0,1.0,6
ocutein,1.0,1.0,1.0,1.0,6
salazopyrin_en_500_mg,1.0,1.0,1.0,1.0,6
semicillin_500_mg,1.0,1.0,1.0,1.0,6
sinupret_forte,1.0,1.0,1.0,1.0,6
strepfen_8_75_mg,1.0,1.0,1.0,1.0,6
strepsils,1.0,1.0,1.0,1.0,6
tricovel_tricoage45,1.0,1.0,1.0,1.0,6
urotrin,1.0,1.0,1.0,1.0,6
urzinol,1.0,1.0,1.0,1.0,6
valeriana_teva,1.0,1.0,1.0,1.0,6
vita_c,1.0,1.0,1.0,1.0,6
voltaren_dolo_rapid_25_mg,1.0,1.0,1.0,1.0,6
jutavit_c_vitamin,1.0,1.0,1.0,1.0,6
zadex_60_mg,1.0,1.0,1.0,1.0,6
calci_kid,1.0,1.0,1.0,1.0,6
condrosulf_800_mg,1.0,1.0,1.0,1.0,6
dulsevia_60_mg,1.0,1.0,1.0,1.0,6
c_vitamin_teva_500_mg,1.0,1.0,1.0,1.0,6
dorithricin_mentol,1.0,1.0,1.0,1.0,6
diclopram_75-mg_20-mg,1.0,1.0,1.0,1.0,6
coldrex,1.0,1.0,1.0,1.0,6
algoflex_forte_dolo_400_mg,1.0,1.0,1.0,1.0,6
algoflex_rapid_400_mg,1.0,1.0,1.0,1.0,6
algopyrin_500_mg,1.0,1.0,1.0,1.0,6
bila_git,1.0,1.0,1.0,1.0,6
cataflam_dolo_25_mg,1.0,1.0,1.0,1.0,6
apranax_550_mg,1.0,1.0,1.0,1.0,6
rubophen_500_mg,0.8571428571428571,1.0,0.9230769230769231,1.0,6
tritace_5_mg,0.8571428571428571,1.0,0.9230769230769231,1.0,6
ambroxol_egis_30_mg,0.8571428571428571,1.0,0.9230769230769231,1.0,6
vitamin_d3_fresenius_1000_ne,0.8571428571428571,1.0,0.9230769230769231,1.0,6
kalcium_magnezium_cink,0.8571428571428571,1.0,0.9230769230769231,1.0,6
cetirizin_10_mg,0.8571428571428571,1.0,0.9230769230769231,1.0,6
aspirin_ultra_500_mg,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
atoris_20_mg,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
sicor_10_mg,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
sedatif_pc,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
akineton_2_mg,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
merckformin_xr_1000_mg,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
coverex_4_mg,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
narva_sr_1_5_mg_retard,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
controloc_20_mg,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
concor_10_mg,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334,6
concor_5_mg,0.75,1.0,0.8571428571428571,1.0,6
betaloc_50_mg,0.75,1.0,0.8571428571428571,1.0,6
milurit_300_mg,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
jutavit_cink,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
ibumax_400_mg,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
cold_fx,1.0,0.6666666666666666,0.8,0.6666666666666666,6
xeter_20_mg,1.0,0.6666666666666666,0.8,0.6666666666666666,6
verospiron_25_mg,0.6666666666666666,1.0,0.8,1.0,6
tritace_hct_5_mg_25_mg,1.0,0.6666666666666666,0.8,0.6666666666666666,6
meridian,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8333333333333334,6
quamatel_40_mg,0.6,1.0,0.75,1.0,6
laresin_10_mg,0.8,0.6666666666666666,0.7272727272727273,0.6666666666666666,6
teva_enterobene_2_mg,0.8,0.6666666666666666,0.7272727272727273,0.6666666666666666,6
letrox_50_mikrogramm,0.5454545454545454,1.0,0.7058823529411765,1.0,6
theospirex_150_mg,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.8333333333333334,6
covercard_plus_10_mg_2_5_mg_5_mg,1.0,0.5,0.6666666666666666,0.5,6
nebivolol_sandoz_5_mg,0.5,0.8333333333333334,0.625,0.8333333333333334,6
olicard_60_mg,0.42857142857142855,1.0,0.6,1.0,6
metothyrin_10_mg,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,6
atorvastatin_teva_20_mg,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,6
cataflam_50_mg,1.0,0.3333333333333333,0.5,0.3333333333333333,6
normodipine_5_mg,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.3333333333333333,6
lactiv_plus,0.25,0.16666666666666666,0.2,0.16666666666666666,6
teva_ambrobene_30_mg,0.0,0.0,0.0,0.0,6
enterol_250_mg,0.0,0.0,0.0,0.0,6
